City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bairiki,KI,87.8,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
17,Hithadhoo,MV,82.96,clear sky,-0.6,73.0833,Scoop Guest House
23,Manaus,BR,81.09,broken clouds,-3.1019,-60.025,Manaus Hotéis Millennium
31,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Butaritari,KI,82.35,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
44,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
47,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
49,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
60,Tautira,PF,81.91,light rain,-17.7333,-149.15,Pension Oaoa
67,Gizo,SB,80.24,overcast clouds,-8.103,156.8419,Imagination Island
92,Key Biscayne,US,80.02,scattered clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
104,Alyangula,AU,87.67,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
113,Ransang,PH,86.36,broken clouds,8.9603,117.5828,Black and Crystal Sand Campsite
115,Roebourne,AU,86.25,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
117,Kahului,US,80.62,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
119,Carnarvon,AU,82.47,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
122,Ambulu,ID,83.68,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
124,Acajutla,SV,81.03,clear sky,13.5928,-89.8275,Laureles
146,Bengkulu,ID,82.22,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
151,Sawtell,AU,80.19,broken clouds,-30.3833,153.1,The Bungalow Sawtell
154,Kupang,ID,83.46,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
158,Manvi,IN,83.7,clear sky,15.9833,77.05,ರಾಮಣ್ಣ ನಾಯಕ
166,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
168,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
173,Tuxtla,MX,85.01,few clouds,16.75,-93.1167,"Hotel del Carmen en Tuxtla Gutierrez, en el Centro de Tuxtla"
182,Geraldton,AU,81.01,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
196,Pontianak,ID,85.98,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
200,Lodwar,KE,82.76,scattered clouds,3.1191,35.5973,Solmar Gracious Hotel
207,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
209,Manokwari,ID,83.01,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
219,Punta,PH,81.79,overcast clouds,8.9897,125.34,Vyjannex boarding house
236,Bontang,ID,83.25,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
237,Labuhan,ID,81.48,overcast clouds,-6.8844,112.2051,DoubleFAG
238,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
243,Poso,ID,86.99,broken clouds,-1.3959,120.7524,Hotel 77 Poso
245,Sabang,ID,83.89,overcast clouds,5.8933,95.3214,Hotel Citra
250,Sai Buri,TH,85.71,broken clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
259,Sarankhola,BD,84.29,overcast clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
275,Ballina,AU,80.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
279,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
280,Dingle,PH,86.58,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
324,Ugoofaaru,MV,83.03,scattered clouds,5.6667,73.0,Ungoofaaru Inn
336,Male,MV,84.15,few clouds,4.1748,73.5089,Hotel Octave Maldives
338,Ko Samui,TH,80.51,few clouds,9.5357,99.9357,The Passage
346,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
347,Isangel,VU,84.79,broken clouds,-19.55,169.2667,Tanna Lodge
357,Sibi,PK,84.97,clear sky,29.5448,67.8764,Jail Superintendent House
367,Faanui,PF,82.36,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
378,Paka,MY,84.13,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
381,Kavaratti,IN,82.85,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
387,Kattivakkam,IN,84.29,clear sky,13.2167,80.3167,Euronova Freezer
407,Perth,AU,82.02,clear sky,-31.9333,115.8333,Quest on Rheola
414,Labuan,MY,86.36,few clouds,5.2767,115.2417,Tiara Labuan Hotel
423,Tabuk,PH,83.1,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
433,Batticaloa,LK,81.21,clear sky,7.7102,81.6924,Grand Star Guest House
436,Vanimo,PG,82.35,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
465,Kunda,IN,88.99,clear sky,25.7167,81.5167,Girja Sankar And Arvind gupta
490,Srandakan,ID,80.37,overcast clouds,-7.9386,110.2506,Puri Brata
498,Cilegon,ID,84.83,broken clouds,-6.0174,106.0538,Forbis Hotel
499,Morant Bay,JM,80.22,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
507,Pandan,PH,83.25,overcast clouds,14.0453,124.1694,Bonifacio Lodge
509,Busing,PH,83.61,scattered clouds,13.1514,122.9714,Sunset View Tourist Inn
510,Gigmoto,PH,83.75,scattered clouds,13.7796,124.39,Cj's Travellers Inn
519,Buala,SB,81.5,light rain,-8.145,159.5921,Maringe Lagoon Lodge
522,Gold Coast,AU,81.77,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
524,Matamoros,MX,82.51,broken clouds,25.5333,-103.25,Quinta Belem
529,Long,TH,83.3,overcast clouds,18.0761,99.8326,Nopphakoe Homestay
535,Santa Rosa,PH,89.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
537,Pundaguitan,PH,81.81,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
538,Karratha,AU,86.41,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
548,Manggar,ID,86.36,overcast clouds,-2.8833,108.2667,Guest Hotel
562,Tindwari,IN,88.32,clear sky,25.6167,80.5333,Dwivedi Bhawan
582,Mareeba,AU,84.49,light rain,-17.0,145.4333,Trinity Plains Tourist Park
585,Kroya,ID,85.05,broken clouds,-7.6331,109.2461,RUSTANTO Fam
588,Rapar,IN,83.23,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
599,Wewak,PG,81.0,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
604,Ler,SS,87.82,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
605,Atambua,ID,82.83,broken clouds,-9.1061,124.8925,Kost Alfa Flat
614,Sibu,MY,84.51,few clouds,2.3,111.8167,RH HOTEL (4 Star)
649,Charters Towers,AU,88.34,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
653,Semporna,MY,85.17,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
655,Karaton,ID,84.83,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
658,Guider,CM,83.59,overcast clouds,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
660,Loandjili,CG,80.71,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
663,Kirakira,SB,84.56,overcast clouds,-10.4544,161.9205,SanBiz Lodge
676,Kolondieba,ML,87.82,overcast clouds,11.0882,-6.8926,Hotel Dakan
685,Meulaboh,ID,81.28,overcast clouds,4.1363,96.1285,Kost Pria
715,Bannu,PK,81.88,clear sky,32.9854,70.6027,Oxford Hostel
721,Deogarh,IN,89.64,scattered clouds,21.5333,84.7333,Amit Henej House
